Distinct values: {'자체분석': 172, '(주)SM작업환경측정센터': 68}

All Hazards List:
HZ-0017 | 1,4-디옥산 | 자체분석 | GC-FID
HZ-0023 | 1,2-디클로로에탄 | 자체분석 | GC-FID
HZ-0024 | 1,2-디클로로에틸렌 | 자체분석 | GC-FID
HZ-0025 | 1,2-디클로로에틸렌(트랜스) | 자체분석 | GC-FID
HZ-0026 | 1,2-디클로로프로판 | 자체분석 | GC-FID
HZ-0047 | 1,3-부타디엔 | 자체분석 | GC-FID
HZ-0082 | 2,3-에폭시-1-프로판올 | 자체분석 | GC-FID
HZ-0083 | 1,2-에폭시프로판 | 자체분석 | GC-FID
HZ-0096 | 1,1,2,2-테트라클로로에탄 | 자체분석 | GC-FID
HZ-0104 | 1,1,2-트리클로로에탄 | 자체분석 | GC-FID
HZ-0106 | 1,2,3-트리클로로프로판 | 자체분석 | GC-FID
HZ-0201 | 3,3-디클로로벤지딘 | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0100 | 2,4-TDI | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0148 | 은 | 자체분석 | ICP-OES
HZ-0149 | 은 | 자체분석 | ICP-OES
HZ-0236 | 디클로로메탄(rear) | 자체분석 | GC-FID
HZ-0146 | 요오드 | (주)SM작업환경측정센터 | IC-CD
HZ-0041 | MDI | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0176 | 아크릴산(front) | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0237 | 크실렌(단시간) | 자체분석 | GC-FID
HZ-0238 | 기타분진 | 자체분석 | 중량분석
HZ-0240 | 소석고 | 자체분석 | 중량분석
HZ-0241 | 에탄올 | 자체분석 | GC-FID
HZ-0101 | 2,6-TDI | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0003 | 니트로메탄 | (주)SM작업환경측정센터 | GC-NPD
HZ-0005 | 니트로아닐린 | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0007 | 디니트로톨루엔 | (주)SM작업환경측정센터 | GC-TEA
HZ-0009 | 디메틸아민 | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0028 | 디하이드록시벤젠 | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0045 | 무수프탈산 | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0067 | 아세트알데히드 | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0081 | 에틸아민 | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0071 | 에탄올아민 | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0069 | 아크릴아미드 | (주)SM작업환경측정센터 | GC-NPD
HZ-0110 | 포름알데히드 | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0111 | 프로필렌이민 | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0117 | 황산디메틸 | (주)SM작업환경측정센터 | GC-FPD
HZ-0118 | 히드라진 | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0114 | HDI | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0137 | 수은(알킬) | (주)SM작업환경측정센터 | ICP-Cold vapor
HZ-0159 | 6가크롬 불용성 | (주)SM작업환경측정센터 | IC-CD
HZ-0160 | 6가크롬 수용성 | (주)SM작업환경측정센터 | IC-CD
HZ-0161 | 크롬산연 | (주)SM작업환경측정센터 | IC-CD
HZ-0167 | 무수초산 | (주)SM작업환경측정센터 | GC-NPD
HZ-0165 | 개미산 | (주)SM작업환경측정센터 | IC-CD
HZ-0170 | 브롬화수소 | (주)SM작업환경측정센터 | IC-CD
HZ-0178 | 염산 | (주)SM작업환경측정센터 | IC-CD
HZ-0179 | 인산 | (주)SM작업환경측정센터 | IC-CD
HZ-0180 | 질산 | (주)SM작업환경측정센터 | IC-CD
HZ-0182 | 트리클로로아세트산 | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0183 | 황산 | (주)SM작업환경측정센터 | IC-CD
HZ-0184 | 불소 | (주)SM작업환경측정센터 | IC-CD
HZ-0185 | 브롬 | (주)SM작업환경측정센터 | IC-CD
HZ-0186 | 산화에틸렌 | (주)SM작업환경측정센터 | GC-ECD
HZ-0177 | 아크릴산(rear) | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0169 | 불산(단시간) | (주)SM작업환경측정센터 | IC-CD
HZ-0190 | 염소 | (주)SM작업환경측정센터 | IC-CD
HZ-0191 | 오존 | (주)SM작업환경측정센터 | IC-CD
HZ-0194 | 일산화질소 | (주)SM작업환경측정센터 | IC-CD
HZ-0196 | 포스겐 | (주)SM작업환경측정센터 | GC-NPD
HZ-0198 | 황화수소 | (주)SM작업환경측정센터 | IC-CD
HZ-0200 | 디아니시딘 | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0203 | 벤조트리클로라이드 | (주)SM작업환경측정센터 | GC-MS
HZ-0193 | 이산화황 | (주)SM작업환경측정센터 | IC-CD
HZ-0216 | 석영 | (주)SM작업환경측정센터 | FT-IR
HZ-0218 | 트리디마이트 | (주)SM작업환경측정센터 | FT-IR
HZ-0011 | DMF | 자체분석 | GC-FID
HZ-0010 | DMAC | 자체분석 | GC-FID
HZ-0012 | 디에탄올아민 | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0001 | 글루타르알데히드 | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0002 | 니트로글리세린 | (주)SM작업환경측정센터 | GC-ECD
HZ-0004 | 니트로벤젠 | 자체분석 | GC-FID
HZ-0006 | 니트로클로로벤젠 | 자체분석 | GC-FID
HZ-0008 | 디메틸아닐린 | 자체분석 | GC-FID
HZ-0013 | 디에틸에테르 | 자체분석 | GC-FID
HZ-0223 | 활석 | 자체분석 | 중량분석
HZ-0015 | 2-디에틸아미노에탄올 | 자체분석 | GC-FID
HZ-0018 | 디이소부틸케톤 | 자체분석 | GC-FID
HZ-0019 | 141B(front) | 자체분석 | GC-FID
HZ-0020 | 141B(rear) | 자체분석 | GC-FID
HZ-0022 | 오쏘-디클로로벤젠 | 자체분석 | GC-FID
HZ-0027 | 디클로로플루오로메탄 | 자체분석 | GC-FID
HZ-0029 | 메탄올 | 자체분석 | GC-FID
HZ-0030 | 메탄올(rear) | 자체분석 | GC-FID
HZ-0031 | 2-메톡시에탄올 | 자체분석 | GC-FID
HZ-0032 | 2-메톡시에틸아세테이트 | 자체분석 | GC-FID
HZ-0021 | 디클로로메탄(front) | 자체분석 | GC-FID
HZ-0014 | 디에틸렌트리아민 | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0016 | 디에틸아민 | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0033 | 메틸부틸케톤 | 자체분석 | GC-FID
HZ-0034 | 메틸아밀케톤 | 자체분석 | GC-FID
HZ-0036 | 초산메틸 | 자체분석 | GC-FID
HZ-0037 | MEK | 자체분석 | GC-FID
HZ-0038 | MIBK | 자체분석 | GC-FID
HZ-0220 | 포틀랜드시멘트 | 자체분석 | 중량분석
HZ-0039 | 메틸클로라이드 | 자체분석 | GC-FID
HZ-0040 | 메틸클로로포름 | 자체분석 | GC-FID
HZ-0059 | 스티렌 | 자체분석 | GC-FID
HZ-0042 | 메틸시클로헥사논 | 자체분석 | GC-FID
HZ-0043 | 메틸시클로헥사놀 | 자체분석 | GC-FID
HZ-0046 | 벤젠 | 자체분석 | GC-FID
HZ-0048 | n-부탄올 | 자체분석 | GC-FID
HZ-0049 | 2-부탄올 | 자체분석 | GC-FID
HZ-0126 | 망간 | 자체분석 | ICP-OES
HZ-0035 | 메틸아민 | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0044 | 무수말레산 | (주)SM작업환경측정센터 | HPLC-UVD
HZ-0050 | 2-부톡시에탄올 | 자체분석 | GC-FID
HZ-0051 | 2-부톡시에틸아세테이트 | 자체분석 | GC-FID
HZ-0052 | 초산부틸 | 자체분석 | GC-FID
HZ-0053 | 1-브로모프로판 | 자체분석 | GC-FID
HZ-0054 | 2-브로모프로판 | 자체분석 | GC-FID
HZ-0055 | 브롬화메틸 | 자체분석 | GC-FID
HZ-0056 | 초산비닐 | 자체분석 | GC-FID
HZ-0057 | 사염화탄소 | 자체분석 | GC-FID
HZ-0058 | 스토다드 솔벤트 | 자체분석 | GC-FID
HZ-0231 | 목재분진 | 자체분석 | 중량분석
HZ-0060 | 시클로헥사논 | 자체분석 | GC-FID
HZ-0061 | 시클로헥사놀 | 자체분석 | GC-FID
HZ-0062 | 시클로헥산 | 자체분석 | GC-FID
HZ-0063 | 시클로헥센 | 자체분석 | GC-FID
HZ-0064 | 아닐린 | 자체분석 | GC-FID
HZ-0065 | 아세토니트릴 | 자체분석 | GC-FID
HZ-0066 | 아세톤 | 자체분석 | GC-FID
HZ-0068 | 아크릴로니트릴 | 자체분석 | GC-FID
HZ-0070 | 알릴 글리시딜 에테르 | 자체분석 | GC-FID
HZ-0072 | 2-에톡시에탄올 | 자체분석 | GC-FID
HZ-0073 | 2-에톡시에틸아세테이트 | 자체분석 | GC-FID
